Country,Continent,Landlocked,Neighbours,Equator,Southern,[name-letters] Starts with a vowel,[name-letters] Ends in a vowel,[name-letters] Ends in a consonant,[name-letters] Ends in A,[name-letters] Ends in N,[name-letters] Ends in -IA,[name-letters] Ends in -LAND,[name-letters] Ends in -STAN,[name-letters] Has a double letter,[name-letters] Contains no A,[name-letters] Contains no E,[name-letters] Contains an O,[name-letters] Contains an R,[name-letters] Contains a Z,[name-letters] Uses all five vowels,[name-letters] Starts with A-G,[name-letters] Starts with M-Z,[name-structure] More than one word,[name-structure] Single word,[name-length] 4 letters or fewer,[name-length] 5 letters or fewer,[name-length] 6 letters or fewer,[name-length] 7 letters or fewer,[name-length] 5 or 6 letters,[name-length] 6 or 7 letters,[name-length] 7 or 8 letters,[name-length] 8 or 9 letters,[name-length] 8 letters or more,[name-length] 9 letters or more,[name-length] 10 letters or more,[name-length] 11 letters or more,[location] In Africa,[location] In Asia,[location] In Europe,[location] In the Americas,[location] In Oceania,[location] In Africa or the Americas,[location] In Europe or Asia,[location] Entirely south of equator,[location] Entirely north of equator,[location] Equator passes through it,[borders] Landlocked,[borders] Has a sea coastline,[borders] Island (no land borders),[borders] Has at least one land border,[borders] Borders exactly one country,[borders] Borders 1 or 2 countries,[borders] Borders 2 to 4 countries,[borders] Borders 3 or more countries,[borders] Borders 4 or more countries,[borders] Borders 5 or more countries,[size] Among the ~30 largest by area,[size] Among the ~30 smallest by area,[capital] Capital starts with a vowel,[capital] Capital has 5 letters or fewer,[capital] Capital has 9 letters or more,[capital] Capital is more than one word,[capital] Capital shares the country's name,[capital] Capital starts with same letter as country,[population] Population over 100 million,[population] Population over 50 million,[population] Population under 5 million,[population] Population under 1 million,[population] Among the 20 most populous,[area] Area over 1 million km2,"[area] Area under 50,000 km2",[area] Among the 30 largest by area,[area] Among the 30 smallest by area,[language] English is a main language,[language] French is a main language,[language] Spanish is a main language,[language] Arabic is a main language,[language] Portuguese is a main language,[currency] Uses the euro,[currency] Currency is a 'dollar',[currency] Currency is a 'franc',[currency] Currency is a 'pound',[currency] Currency is a 'peso'
Egypt,AF,False,3,False,False,Y,,Y,,,,,,,Y,,,,,,Y,,,Y,,Y,Y,Y,Y,,,,,,,,Y,,,,,Y,,,Y,,,Y,,Y,,,Y,Y,,,Y,,,Y,,,,,,Y,,,Y,Y,,Y,,Y,Y,,Y,,,,,Y,
Equatorial Guinea,AF,False,2,False,False,Y,Y,,Y,,,,,,,,Y,Y,,Y,Y,,Y,,,,,,,,,,Y,Y,Y,Y,Y,,,,,Y,,,Y,,,Y,,Y,,Y,Y,,,,,,,,,,,,,,Y,,,,Y,,,,Y,Y,,Y,,,Y,,
Eritrea,AF,False,3,False,False,Y,Y,,Y,,,,,,,,,Y,,,Y,,,Y,,,,Y,,Y,Y,,,,,,Y,,,,,Y,,,Y,,,Y,,Y,,,Y,Y,,,,,Y,,,,,,,,,,,,,,,,,,Y,,,,,,
Eswatini,AF,True,2,False,True,Y,Y,,,,,,,,,,,,,,Y,,,Y,,,,,,,Y,Y,Y,,,,Y,,,,,Y,,Y,,,Y,,,Y,,Y,Y,,,,,,,,,,,,,,Y,,,,Y,,,Y,,,,,,,,,
Ethiopia,AF,True,6,False,False,Y,Y,,Y,,Y,,,,,,Y,,,,Y,,,Y,,,,,,,Y,Y,Y,,,,Y,,,,,Y,,,Y,,Y,,,Y,,,,Y,Y,Y,Y,,Y,,Y,Y,,,Y,Y,,,Y,Y,,Y,,Y,,,,,,,,,
Gabon,AF,False,3,True,False,,,Y,,Y,,,,,,Y,Y,,,,Y,,,Y,,Y,Y,Y,Y,,,,,,,,Y,,,,,Y,,,,Y,,Y,,Y,,,Y,Y,,,,,,,Y,,,,,,Y,,,,,,,,Y,,,,,,Y,,
Gambia,AF,False,1,False,False,,Y,,Y,,Y,,,,,Y,,,,,Y,,,Y,,,Y,Y,Y,Y,,,,,,,Y,,,,,Y,,,Y,,,Y,,Y,Y,Y,,,,,,,,,,,,,,,Y,,,,Y,,,Y,,,,,,,,,
Ghana,AF,False,3,False,False,,Y,,Y,,,,,,,Y,,,,,Y,,,Y,,Y,Y,Y,Y,,,,,,,,Y,,,,,Y,,,Y,,,Y,,Y,,,Y,Y,,,,,Y,Y,,,,,,,,,,,,,,Y,,,,,,,,,
Guinea,AF,False,6,False,False,,Y,,Y,,,,,,,,,,,,Y,,,Y,,,Y,Y,Y,Y,,,,,,,Y,,,,,Y,,,Y,,,Y,,Y,,,,Y,Y,Y,,,,,,,,,,,,,,,,,,,Y,,,,,,Y,,
Guinea-Bissau,AF,False,2,False,False,,Y,,,,,,,Y,,,,,,,Y,,,Y,,,,,,,,,Y,Y,Y,Y,Y,,,,,Y,,,Y,,,Y,,Y,,Y,Y,,,,,,,,,,,,,,Y,,,,Y,,,,,,,Y,,,Y,,
Kenya,AF,False,5,True,False,,Y,,Y,,,,,,,,,,,,,,,Y,,Y,Y,Y,Y,,,,,,,,Y,,,,,Y,,,,Y,,Y,,Y,,,,Y,Y,Y,,,,,,,,,,Y,,,,,,,,Y,,,,,,,,,
Lesotho,AF,True,1,False,True,,Y,,,,,,,,Y,,Y,,,,,,,Y,,,,Y,,Y,Y,,,,,,Y,,,,,Y,,Y,,,Y,,,Y,Y,Y,,,,,,,,,,,,,,,Y,,,,Y,,,Y,,,,,,,,,
Liberia,AF,False,3,False,False,,Y,,Y,,Y,,,,,,,Y,,,,,,Y,,,,Y,,Y,Y,,,,,,Y,,,,,Y,,,Y,,,Y,,Y,,,Y,Y,,,,,,,,,,,,,Y,,,,,,,Y,,,,,,Y,,,
Libya,AF,False,6,False,False,,Y,,Y,,,,,,,Y,,,,,,,,Y,,Y,Y,Y,Y,,,,,,,,Y,,,,,Y,,,Y,,,Y,,Y,,,,Y,Y,Y,Y,,,,,,,,,,,,,Y,,Y,,Y,,,Y,,,,,,
Madagascar,AF,False,0,False,True,,,Y,,,,,,,,Y,,Y,,,,Y,,Y,,,,,,,,,Y,Y,Y,,Y,,,,,Y,,Y,,,,Y,Y,,,,,,,,,,Y,,Y,,,,,,,,,,,,,,Y,,,,,,,,
Malawi,AF,True,3,False,True,,Y,,,,,,,,,Y,,,,,,Y,,Y,,,Y,Y,Y,Y,,,,,,,Y,,,,,Y,,Y,,,Y,,,Y,,,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mali,AF,True,7,False,False,,Y,,,,,,,,,Y,,,,,,Y,,Y,Y,Y,Y,Y,,,,,,,,,Y,,,,,Y,,,Y,,Y,,,Y,,,,Y,Y,Y,Y,,,,,,,,,,,,,Y,,Y,,,Y,,,,,,Y,,
Mauritania,AF,False,4,False,False,,Y,,Y,,Y,,,,,Y,,Y,,,,Y,,Y,,,,,,,,,Y,Y,Y,,Y,,,,,Y,,,Y,,,Y,,Y,,,Y,Y,Y,,Y,,,,Y,,,,,,Y,,,Y,,Y,,,Y,,Y,,,,,,
Mauritius,AF,False,0,False,True,,,Y,,,,,,,,Y,,Y,,,,Y,,Y,,,,,,,,Y,Y,Y,,,Y,,,,,Y,,Y,,,,Y,Y,,,,,,,,,,,,Y,Y,,,,,Y,,,,Y,,Y,Y,Y,,,,,,,,
Morocco,AF,False,2,False,False,,Y,,,,,,,Y,Y,Y,Y,Y,,,,Y,,Y,,,,Y,,Y,Y,,,,,,Y,,,,,Y,,,Y,,,Y,,Y,,Y,Y,,,,,,,Y,,,,,,,,,,,,,,,Y,,Y,,,,,,
Mozambique,AF,False,6,False,True,,Y,,,,,,,,,,Y,,Y,Y,,Y,,Y,,,,,,,,,Y,Y,Y,,Y,,,,,Y,,Y,,,,Y,,Y,,,,Y,Y,Y,,,,,,,,Y,,,,,,,,,,,,,,Y,,,,,
Namibia,AF,False,4,False,True,,Y,,Y,,Y,,,,,Y,,,,,,Y,,Y,,,,Y,,Y,Y,,,,,,Y,,,,,Y,,Y,,,,Y,,Y,,,Y,Y,Y,,,,,,,,,,,,Y,,,,,,,Y,,,,,,Y,,,
Niger,AF,True,7,False,False,,,Y,,,,,,,Y,,,Y,,,,Y,,Y,,Y,Y,Y,Y,,,,,,,,Y,,,,,Y,,,Y,,Y,,,Y,,,,Y,Y,Y,Y,,,,,,,Y,,,,,,Y,,Y,,,Y,,,,,,Y,,
Nigeria,AF,False,4,False,False,,Y,,Y,,Y,,,,,,,Y,,,,Y,,Y,,,,Y,,Y,Y,,,,,,Y,,,,,Y,,,Y,,,Y,,Y,,,Y,Y,Y,,,,Y,Y,,,,,Y,Y,,,Y,,,,,Y,,,,,,,,,
Rwanda,AF,True,4,False,True,,Y,,Y,,,,,,,Y,,Y,,,,Y,,Y,,,Y,Y,Y,Y,,,,,,,Y,,,,,Y,,Y,,,Y,,,Y,,,Y,Y,Y,,,,,,,,,,,,,,,,Y,,,Y,Y,,,,,,Y,,
Sao Tome and Principe,AF,False,0,True,False,,Y,,,,,,,,,,Y,Y,,,,Y,Y,,,,,,,,,,Y,Y,Y,Y,Y,,,,,Y,,,,Y,,Y,Y,,,,,,,,,Y,,,,Y,Y,Y,,,Y,Y,,,Y,,Y,,,,,Y,,,,,
Senegal,AF,False,5,False,False,,,Y,,,,,,,,,,,,,,Y,,Y,,,,Y,,Y,Y,,,,,,Y,,,,,Y,,,Y,,,Y,,Y,,,,Y,Y,Y,,,,Y,,,,,,,,,,,,,,,Y,,,,,,Y,,
Seychelles,AF,False,0,False,True,,,Y,,,,,,Y,Y,,,,,,,Y,,Y,,,,,,,,,Y,Y,Y,,Y,,,,,Y,,Y,,,,Y,Y,,,,,,,,,Y,,,,,,,,,Y,Y,,,Y,,Y,Y,Y,,,,,,,,
Sierra Leone,AF,False,2,False,False,,Y,,,,,,,Y,,,Y,Y,,,,Y,Y,,,,,,,,,,Y,Y,Y,Y,Y,,,,,Y,,,Y,,,Y,,Y,,Y,Y,,,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,
Somalia,AF,False,3,True,False,,Y,,Y,,Y,,,,,Y,Y,,,,,Y,,Y,,,,Y,,Y,Y,,,,,,Y,,,,,Y,,,,Y,,Y,,Y,,,Y,Y,,,,,,,Y,,,,,,,,,,,,,Y,,,Y,,,,,,
South Africa,AF,False,6,False,True,,Y,,Y,,,,,,,Y,Y,Y,,,,Y,Y,,,,,,,,,,Y,Y,Y,Y,Y,,,,,Y,,Y,,,,Y,,Y,,,,Y,Y,Y,Y,,,,,,,,,Y,,,,Y,,Y,,Y,,,,,,,,,
South Sudan,AF,True,6,False,False,,,Y,,Y,,,,,,Y,Y,,,,,Y,Y,,,,,,,,,,Y,Y,Y,,Y,,,,,Y,,,Y,,Y,,,Y,,,,Y,Y,Y,,,,Y,,,,,,,,,,,,,,Y,,,,,,,,Y,
Sudan,AF,False,7,False,False,,,Y,,Y,,,,,,Y,,,,,,Y,,Y,,Y,Y,Y,Y,,,,,,,,Y,,,,,Y,,,Y,,,Y,,Y,,,,Y,Y,Y,Y,,,,,,,,,,,,,Y,,Y,,Y,,,Y,,,,,Y,
Tanzania,AF,False,8,False,True,,Y,,Y,,Y,,,,,Y,,,Y,,,Y,,Y,,,,,,,Y,Y,Y,,,,Y,,,,,Y,,Y,,,,Y,,Y,,,,Y,Y,Y,Y,,,,,,,,,Y,,,,,,Y,,Y,,,Y,,,,,,
Togo,AF,False,3,False,False,,Y,,,,,,,,Y,Y,Y,,,,,Y,,Y,Y,Y,Y,Y,,,,,,,,,Y,,,,,Y,,,Y,,,Y,,Y,,,Y,Y,,,,,,Y,,,,,,,,,,,,,,,Y,,,,,,Y,,
Tunisia,AF,False,2,False,False,,Y,,Y,,Y,,,,,Y,,,,,,Y,,Y,,,,Y,,Y,Y,,,,,,Y,,,,,Y,,,Y,,,Y,,Y,,Y,Y,,,,,,,Y,,,,Y,,,,,,,,,,,Y,,Y,,,,,,
Uganda,AF,True,5,True,False,Y,Y,,Y,,,,,,,Y,,,,,,Y,,Y,,,Y,Y,Y,Y,,,,,,,Y,,,,,Y,,,,Y,Y,,,Y,,,,Y,Y,Y,,,,,,,,,,,,,,,,,,Y,,,Y,,,,,,
Zambia,AF,True,8,False,True,,Y,,Y,,Y,,,,,Y,,,Y,,,Y,,Y,,,Y,Y,Y,Y,,,,,,,Y,,,,,Y,,Y,,,Y,,,Y,,,,Y,Y,Y,,,,,,,,,,,,,,,,,,Y,,,,,,,,,
Zimbabwe,AF,True,4,False,True,,Y,,,,,,,,,,,,Y,,,Y,,Y,,,,,,,Y,Y,Y,,,,Y,,,,,Y,,Y,,,Y,,,Y,,,Y,Y,Y,,,,,,,,,,,,,,,,,,,Y,,,,,,,,,
Afghanistan,AS,True,6,False,False,Y,,Y,,Y,,,Y,,,Y,,,,,Y,,,Y,,,,,,,,,Y,Y,Y,Y,,Y,,,,,Y,,Y,,Y,,,Y,,,,Y,Y,Y,,,,Y,,,,,,,,,,,,,,,,,,,,,,,
Armenia,AS,True,4,False,False,Y,Y,,Y,,Y,,,,,,,Y,,,Y,,,Y,,,,Y,,Y,Y,,,,,,,Y,,,,,Y,,Y,,Y,,,Y,,,Y,Y,Y,,,,,,,,,,,,Y,,,,Y,,,,,,,,,,,,
Azerbaijan,AS,True,5,False,False,Y,,Y,,Y,,,,,,,,Y,Y,,Y,,,Y,,,,,,,,,Y,Y,Y,,,Y,,,,,Y,,Y,,Y,,,Y,,,,Y,Y,Y,,,,Y,,,,,,,,,,,,,,,,,,,,,,,
Bahrain,AS,False,0,False,False,,,Y,,Y,,,,,,Y,,Y,,,Y,,,Y,,,,Y,,Y,Y,,,,,,,Y,,,,,Y,,Y,,,Y,Y,,,,,,,,,Y,,,,,,,,,Y,,,,Y,,Y,Y,,,Y,,,,,,
Bangladesh,AS,False,2,False,False,,,Y,,,,,,,,,,,,,Y,,,Y,,,,,,,,,Y,Y,Y,,,Y,,,,,Y,,Y,,,Y,,Y,,Y,Y,,,,,,,Y,,,,,Y,Y,,,Y,,,,,Y,,,,,,,,,
Bhutan,AS,True,2,False,False,,,Y,,Y,,,,,,Y,,,,,Y,,,Y,,,Y,Y,Y,Y,,,,,,,,Y,,,,,Y,,Y,,Y,,,Y,,Y,Y,,,,,,,,,,,,,,Y,Y,,,Y,,,,,,,,,,,,
Brunei,AS,False,1,False,False,,Y,,,,,,,,Y,,,Y,,,Y,,,Y,,,Y,Y,Y,Y,,,,,,,,Y,,,,,Y,,Y,,,Y,,Y,Y,Y,,,,,,Y,,,Y,Y,,Y,,,Y,Y,,,Y,,,Y,,,,,,Y,,,
Cambodia,AS,False,3,False,False,,Y,,Y,,Y,,,,,Y,Y,,,,Y,,,Y,,,,,,,Y,Y,Y,,,,,Y,,,,,Y,,Y,,,Y,,Y,,,Y,Y,,,,,,,Y,Y,,,,,,,,,,,,Y,Y,,,,,,,,
China,AS,False,14,False,False,,Y,,Y,,,,,,,Y,,,,,Y,,,Y,,Y,Y,Y,Y,,,,,,,,,Y,,,,,Y,,Y,,,Y,,Y,,,,Y,Y,Y,Y,,,,,,,,Y,Y,,,Y,Y,,Y,,,,,,,,,,,
Cyprus,AS,False,0,False,False,,,Y,,,,,,,Y,Y,,Y,,,Y,,,Y,,,Y,Y,Y,Y,,,,,,,,Y,,,,,Y,,Y,,,Y,Y,,,,,,,,,,,,,,,,,,Y,,,,Y,,,Y,,,,,Y,,,,
Georgia,AS,False,4,False,False,,Y,,Y,,Y,,,,,,Y,Y,,,Y,,,Y,,,,Y,,Y,Y,,,,,,,Y,,,,,Y,,Y,,,Y,,Y,,,Y,Y,Y,,,,,,,,,,,,Y,,,,,,,,,,,,,,,,
India,AS,False,6,False,False,Y,Y,,Y,,Y,,,,,Y,,,,,,,,Y,,Y,Y,Y,Y,,,,,,,,,Y,,,,,Y,,Y,,,Y,,Y,,,,Y,Y,Y,Y,,,,,Y,,,Y,Y,,,Y,Y,,Y,,Y,Y,,,,,,,,
Indonesia,AS,False,3,True,False,Y,Y,,Y,,Y,,,,,,Y,,,,,,,Y,,,,,,,,Y,Y,Y,,,,Y,,,,,Y,,,Y,,Y,,Y,,,Y,Y,,,Y,,,,,,,,Y,Y,,,Y,Y,,Y,,Y,,,,,,,,,
Iran,AS,False,7,False,False,Y,,Y,,Y,,,,,,Y,,Y,,,,,,Y,Y,Y,Y,Y,,,,,,,,,,Y,,,,,Y,,Y,,,Y,,Y,,,,Y,Y,Y,Y,,,,,,,,,Y,,,Y,Y,,Y,,,,,,,,,,,
Iraq,AS,False,6,False,False,Y,,Y,,,,,,,,Y,,Y,,,,,,Y,Y,Y,Y,Y,,,,,,,,,,Y,,,,,Y,,Y,,,Y,,Y,,,,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,Y,,,,,,
Israel,AS,False,4,False,False,Y,,Y,,,,,,,,,,Y,,,,,,Y,,,Y,Y,Y,Y,,,,,,,,Y,,,,,Y,,Y,,,Y,,Y,,,Y,Y,Y,,,,,,Y,,,,,,,,,,Y,,,Y,,,Y,,,,,,
Japan,AS,False,0,False,False,,,Y,,Y,,,,,,Y,,,,,,,,Y,,Y,Y,Y,Y,,,,,,,,,Y,,,,,Y,,Y,,,Y,Y,,,,,,,,,,,Y,,,,,Y,Y,,,Y,,,,,,,,,,,,,,
Jordan,AS,False,4,False,False,,,Y,,Y,,,,,,Y,Y,Y,,,,,,Y,,,Y,Y,Y,Y,,,,,,,,Y,,,,,Y,,Y,,,Y,,Y,,,Y,Y,Y,,,,Y,Y,,,,,,,,,,,,,,Y,,,Y,,,,,,
Kazakhstan,AS,True,5,False,False,,,Y,,Y,,,Y,,,Y,,,Y,,,,,Y,,,,,,,,,Y,Y,Y,,,Y,,,,,Y,,Y,,Y,,,Y,,,,Y,Y,Y,Y,,,,Y,,,,,,,,,Y,,Y,,,,,,,,,,,
Kuwait,AS,False,2,False,False,,,Y,,,,,,,,Y,,,,,,,,Y,,,Y,Y,Y,Y,,,,,,,,Y,,,,,Y,,Y,,,Y,,Y,,Y,Y,,,,,,,,Y,Y,Y,Y,,,Y,,,,Y,,,Y,,,Y,,,,,,
Kyrgyzstan,AS,True,4,False,False,,,Y,,Y,,,Y,,,Y,,Y,Y,,,,,Y,,,,,,,,,Y,Y,Y,,,Y,,,,,Y,,Y,,Y,,,Y,,,Y,Y,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Laos,AS,True,5,False,False,,,Y,,,,,,,,Y,Y,,,,,,,Y,Y,Y,Y,Y,,,,,,,,,,Y,,,,,Y,,Y,,Y,,,Y,,,,Y,Y,Y,,,,,Y,,,,,,,,,,,,,Y,Y,,,,,,,,
Lebanon,AS,False,2,False,False,,,Y,,Y,,,,,,,Y,,,,,,,Y,,,,Y,,Y,Y,,,,,,,Y,,,,,Y,,Y,,,Y,,Y,,Y,Y,,,,,,,,,,,,,,,,,,Y,,,Y,Y,,Y,,,,,Y,
Malaysia,AS,False,3,False,False,,Y,,Y,,Y,,,,,Y,,,,,,Y,,Y,,,,,,,Y,Y,Y,,,,,Y,,,,,Y,,Y,,,Y,,Y,,,Y,Y,,,,,,,Y,Y,,,,,,,,,,,,Y,,,,,,,,,
Maldives,AS,False,0,True,False,,,Y,,,,,,,,,,,,,,Y,,Y,,,,,,,Y,Y,Y,,,,,Y,,,,,Y,,,Y,,Y,Y,,,,,,,,,Y,,Y,,,,Y,,,Y,Y,,,Y,,Y,Y,,,,,,,,,
Mongolia,AS,True,2,False,False,,Y,,Y,,Y,,,,,Y,Y,,,,,Y,,Y,,,,,,,Y,Y,Y,,,,,Y,,,,,Y,,Y,,Y,,,Y,,Y,Y,,,,Y,,Y,,Y,,,,,,Y,,,Y,,Y,,,,,,,,,,,
Myanmar,AS,False,5,False,False,,,Y,,,,,,,,Y,,Y,,,,Y,,Y,,,,Y,,Y,Y,,,,,,,Y,,,,,Y,,Y,,,Y,,Y,,,,Y,Y,Y,,,,,Y,Y,,,,Y,,,,,,,,,,,,,,,,,
Nepal,AS,True,2,False,False,,,Y,,,,,,,,,,,,,,Y,,Y,,Y,Y,Y,Y,,,,,,,,,Y,,,,,Y,,Y,,Y,,,Y,,Y,Y,,,,,,,,Y,,,,,,,,,,,,,Y,,,,,,,,,
North Korea,AS,False,3,False,False,,Y,,Y,,,,,,,,Y,Y,,,,Y,Y,,,,,,,,,,Y,Y,Y,,,Y,,,,,Y,,Y,,,Y,,Y,,,Y,Y,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,
Oman,AS,False,3,False,False,Y,,Y,,Y,,,,,,Y,Y,,,,,Y,,Y,Y,Y,Y,Y,,,,,,,,,,Y,,,,,Y,,Y,,,Y,,Y,,,Y,Y,,,,,,,,,,,,,Y,,,,,,,Y,,,Y,,,,,,
Pakistan,AS,False,4,False,False,,,Y,,Y,,,Y,,,Y,,,,,,Y,,Y,,,,,,,Y,Y,Y,,,,,Y,,,,,Y,,Y,,,Y,,Y,,,Y,Y,Y,,,,Y,,Y,,,,Y,Y,,,Y,,,,,Y,,,,,,,,,
Philippines,AS,False,0,False,False,,,Y,,,,,,Y,Y,,,,,,,Y,,Y,,,,,,,,,Y,Y,Y,Y,,Y,,,,,Y,,Y,,,Y,Y,,,,,,,,,,,,,,,,Y,Y,,,Y,,,,,Y,,,,,,,,,Y
Qatar,AS,False,1,False,False,,,Y,,,,,,,,Y,,Y,,,,Y,,Y,,Y,Y,Y,Y,,,,,,,,,Y,,,,,Y,,Y,,,Y,,Y,Y,Y,,,,,,,,Y,,,,,,,Y,,,,Y,,,,,Y,Y,,,,,,
